,name,description,ingredients,steps
2097,baked apple puff,"sorted food baked apple puff https //sortedfood.com/applepuff/ wonderful for the fall, a quick dessert to use up extra apples","2.0 cooking apples, 1.0 lemon, 1.0 sheet puff pastry, cinnamon, 1.0 beaten egg, water, 1.0 handful raisins","preheat oven to 430 degrees farenheit peel and core apples, then coat with lemon juice mix brown sugar cinnamon together cover apples in brown sugar cinnamon mixture cut out squares of puff pastry large enough to completely cover apple place apple in square, fill hollow core with sultanas brush edges of puff pastry with egg wash then carefully crimp/fold pastry around apple completely covering it cut off excess puff pastry brush all over with egg wash bake for 3o minutes all done"
51,southwestern green chile pork roast,"southwestern green chile pork roast with pork shoulder, olive oil, onion, tomatoes, green chiles, ground cumin, corn tortillas, salsa verde, avocados, sour cream","4.0 pound pork shoulder, 2.0 tablespoon olive oil, 1.0 cup onion, 14.5 ounce tomatoes, 8.0 ounce green chiles, 2.0 teaspoon ground cumin, corn tortillas, salsa verde, avocados, sour cream","heat the oil in a large skillet over medium high heat . add pork and cook until browned on all sides, about 6 to 8 minutes, turning to brown each side . place pork in slow cooker and add onion, tomatoes, green chilies and cumin . season to taste with salt and pepper . add 1 cup water . cook on low for 6 to 8 hours, until tender remove pork and cool slightly . shred meat with a fork discarding fat . spoon some vegetables from the slow cooker over the pork . serve on corn tortillas and top with salsa verde, avocados and sour cream, if desired."
4966,leftover turkey pot pie empanadas,"these leftover turkey pot pie empanadas, or hand pies are a delicious way to use up your leftover thanksgiving turkey","1 teaspoon unsalted butter, 1/4 cup chopped onion, 1/4 cup chopped celery, 2 tablespoons chopped fresh parsley, 1 clove garlic, 1 tablespoon corn starch, 1/2 cup low sodium chicken or turkey broth, 1 1/4 cups leftover shredded cooked turkey breast, 3/4 cup frozen peas and carrots, 3/4 teaspoon kosher salt, 1/8 tsp ground black pepper, 1/2 tsp dried thyme, 10 frozen goya empanada discos, cooking spray, 1 large egg","heat a skillet over medium heat, melt butter . add onion, celery, and parsley cooking until onions are translucent . add minced garlic, cooking for an additional minute . combine the broth and cornstarch together and mix well . add the turkey, frozen peas and carrots, 3/4 teaspoon salt, pepper, thyme and broth, stir and cook medium heat, bring to a boil then cook until thickened and heated through, 2 3 minutes . place a disc on your work surface . take 2 tablespoon of the turkey mixture and place in the middle of each disc . using a pastry brush, place the egg wash on the outer edges of the disc . fold the disc over and gently press the edges to create a seal . use a fork and press around the edges to seal . brush the egg wash over one side of each of the empanadas . spray the baking sheet with oil, bake 350f 26 to 30 minutes, until golden."
1387,pate de atum com nozes,"pate de atum com nozes with, , , , , , ,","none none, none none, none none, none none, none none, none none, none none, none none","escorre se o atum e esmaga se com um garfo . picam se os picles e juntam se no atum . bate se o iogurte com o sumo de limao, tempera se com sal e pimenta e envolve se no preparado de atum . juntam se as nozes picadas e a salsa picada . serve se com tostas."
5438,sauteed baby zucchini,none,"1 package, 1 tbsp olive oil, oregano, 1 clove garlic, salt and fresh pepper","cut zucchinis in half lengthwise . season with salt and pepper . in a large saute pan, heat olive oil on medium high heat . add zucchini to pan, add oregano and saute about 2 minutes on each side . add garlic and cook another minute."
5006,basic quinoa recipe,none,"1 cup quinoa, 2 cups water, salt to taste","wash quinoa and add to a medium saucepan . add water or broth, salt and boil, covered for 15 minutes or until all the water has absorbed . you will know when they are cooked when they are fluffy and you see a small thread . fluff with a fork and it will be ready to use for other recipes . you can store it in the refrigerator for 3 or 4 days and reheat in the microwave."
1679,"""slap yo mamma"" spicy sticky asian ribs","spicy sticky asian ribs are drizzled in a sweet and spicy glaze, kissed to a slight crunch on the grill, and melt in your mouth, incredibly tender on the inside . these pork ribs are finger lickin' and slap yo mama silly kind of 'good'.","3.0 pound country style pork ribs, 0.2 cup white wine vinegar","in a large pot filled halfway with water, add the vinegar and salt, and then boil . add the ribs and boil for 25 minutes."
3077,make ahead turkey white wine rosemary garlic gravy,"this genius recipe lets you make perfect, creamy and rich gravy ahead of time it tastes every bit as good as gravy made from the whole bird, but requires only about four wings and frees you from the last minute hassle . the recipe is a yummly original created by david bonom https //www.yummly.com/dish/author/david bonom .","oil spray, 2.5 pound turkey wings, 2.0 teaspoon olive oil, 1.0 cup dry white wine, 5.0 cup unsalted chicken broth, 2.0 rosemary sprigs, 3.0 garlic cloves, 5.0 tablespoon unsalted butter, 5.0 tablespoon all purpose flour, 0.5 teaspoon salt, 0.2 teaspoon black pepper, 0.5 teaspoon salt, 0.2 teaspoon black pepper","preheat oven to 425degf . coat a sheet pan with cooking oil spray or olive oil . place turkey wings on sheet pan and rub all over with oil . roast on middle rack of oven until wings are well browned, about 40 minutes . check to see that wings are done . carefully remove from oven or add time as needed . transfer turkey wings to a large saucepan or small dutch oven . pour off any fat that has accumulated on sheet pan . set sheet pan on a heatproof surface the stove or a work surface . pour wine onto sheet pan and stir to loosen browned bits . add broth, wine and browned bits from sheet pan, and rosemary to saucepan with turkey wings . bring to a boil over high heat . reduce heat to medium and gently simmer until reduced to 3 1/2 cups, about 45 minutes . strain broth through a fine strainer into large measuring cup . discard solids . mince garlic . melt butter in large saucepan over medium heat . add garlic and cook, stirring occasionally, until garlic starts to brown, 2 3 minutes . add flour, salt, and pepper, and cook, stirring constantly, 1 minute . whisk turkey broth into sauce and increase heat to medium high . bring mixture to a boil, whisking constantly . cook, whisking occasionally, until gravy thickens, about 2 minutes . remove from heat and season with salt and pepper . at this point, gravy can be cooled and stored in the refrigerator up to 3 days, or frozen up to 3 months . thaw gravy if necessary then, bring it to a boil and cook for 1 minute, stirring, before serving."
6046,citrus vanilla blintzes,celebrate hanukkah with blintzes made with clover organic dairy products . clovercooks,"4 clover large brown eggs, 1 cup flour, 1/4 cup sugar, 3/4 cup clover 2 reduced fat milk, 1/4 cup orange juice, 1 tsp vanilla, 1/2 tsp orange zest, pinch of salt, nonstick oil cooking spray, cooking oil with a high smoke point for frying grapeseed or peanut oil works best, clover cream on top vanilla yogurt optional topping, 1 cup clover low fat cottage cheese, 8 oz clover cream cheese, 1/4 cup sugar, 1 egg yolk, 1 tbsp orange juice, 1 tsp vanilla, 1/2 tsp orange zest, pinch of salt","if starting the night before... place the clover low fat cottage cheese from the filling ingredients into a strainer lined with cheesecloth placed on top of a bowl . let the cottage cheese drain in the refrigerator overnight to remove excess liquid . if starting the same day... place the clover low fat cottage cheese from the filling ingredients into a double layer piece of cheesecloth . gather the cheesecloth into a bundle around the cottage cheese and squeeze gently and repeatedly to remove as much liquid as possible . blend all of the blintz batter ingredients together using a food processor, blender, immersion blender or electric hand mixer . consistency of the batter should be smooth no lumps . warm up a nonstick skillet on medium heat until hot . the skillet is ready when a drop of water sizzles on the surface of the pan . if the water pops or jumps out of the pan, the skillet is too hot let it cool slightly before starting . if the water sizzles, it's at the perfect temperature . grease the entire surface of the hot pan generously with nonstick cooking oil spray keep the oil spray away from gas stovetop flame . pour the blintz batter by 1/3 cupfuls into the pan, then tilt the pan in a circular motion till the batter coats the entire bottom of the pan in a large, thin circular shape.let each blintz cook for 60 75 seconds until the edges of the blintz brown and the bottom of the blintz is lightly golden . you can tell it's ready by touching the center of the pancake's surface it should be dry and slightly tacky to the touch . do not flip the blintz to cook the other side . use a spatula to take the blintz out of the pan and place it on a plate . keep the blintzes separated by pieces of parchment paper, wax paper, or paper towels . this will help keep them from sticking together . when all of the blintzes are cooked, create your filling . put all of the filling ingredients into a food processor and blend until smooth . alternatively, you can use a fork to mix all ingredients together . now you're going to stuff and wrap up your blintzes place a blintz browned side facing upward . put 3 tbsp of filling on the lower part of the browned blintz, about an inch from the edge . fold the lower edge of the blintz up over the filling . fold the sides of the blintz inward, as though you're folding an envelope . roll the blintz up and over the filling like a burrito, tucking the edges in as you roll . when the blintzes are stuffed and rolled, the less cooked side will be showing outside . now you are ready to fry them . pour 1/2 cup of frying oil into the skillet and heat over medium until hot . do not let the oil turn brown or start smoking if this happens, discard the oil and try again . cook the blintzes in batches of 3 this will give you space to turn them easily in the pan . carefully place the stuffed blintzes flap side down into the hot oil . the blintzes should fry for 1 to 2 minutes until they're brown and crispy . turn the blintzes carefully using a spatula and/or tongs, then fry for an additional 1 2 minutes . blintzes should be evenly browned on both sides.serve blintzes warm . they can be served as is or made extra special by topping with a dollop of clover cream on top vanilla yogurt."
533,lebanese green peas with rice,"this recipe reminds me so much of home lebanon . it is one of those typical home cooked lebanese dishes that you wouldn't find in a lebanese restaurant menu . it is so rich in flavor, so healthy, and can be cooked without meat for those who are vegetarian . you can also substitute rice with quinoa . sahtein","3.0 cup frozen green peas, 200.0 gram ground beef, 1.0 onion, 3.0 garlic cloves, 2.0 large carrots, 1.0 bottle tomato juice, 1.0 can tomato paste, 1.0 tablespoon sugar, 1.0 pinch salt, 1.0 cube chicken broth, 1.0 juice, 10.0 gram butter, 2.0 tablespoon olive oil","wash green peas in clean water, and set aside in a pot, add the butter, olive oil, and garlic and stir for 1 minute add onions and a pinch of salt and stir until translucent for about 5 minutes add the carrots and stir . leave for 10 minutes in a low heat and cover the pot add the meat, cube chicken, salt, pepper, cinnamon and nutmeg very little nutmeg . stir to combine, leave for around 10 minutes covered, stir occasionally . meanwhile, combine in a bowl the tomato juice, tomato paste, sugar . add the mixture to the pot, stir to combine, cover and let simmer for around 20 minutes add the lemon juice . stir, cover and let simmer for five minutes . serve with rice or quinoa"
1599,gluten free banana bread,soft banana bread made with wholesome gluten free flours comes together easily in one bowl . the recipe is a yummly original created by sara mellas https //www.yummly.com/dish/author/sara 20mellas .,"nonstick cooking spray, 2.0 bananas, 0.3 cup canola oil, 0.5 cup granulated sugar, 0.2 cup light brown sugar, 2.0 large eggs, 0.5 teaspoon vanilla extract, 1.0 cup brown rice flour, 0.5 cup oat flour, 2.0 tablespoon cornstarch, 1.0 teaspoon cinnamon, 1.0 teaspoon baking powder, 0.5 teaspoon baking soda, 0.5 teaspoon salt","preheat the oven to 350degf . spray a 9x5 inch loaf pan with nonstick cooking spray . set aside . place the mashed bananas, canola oil, granulated sugar, brown sugar, eggs and vanilla extract in a large mixing bowl . whisk vigorously until smooth and combined . add the brown rice flour, oat flour, cornstarch, cinnamon, baking powder, baking soda, and salt to the bowl . continue whisking until the mixture is just combined . do not over mix . pour the batter into the loaf pan . bake the bread on middle rack of oven until a toothpick inserted in the center comes out clean, 45 60 minutes . check to see that bread is done . remove from oven or add time as needed . allow the bread to rest in the pan for 10 minutes, then release the bread from the pan onto a cooling rack . allow to cool for at least 1 hour before slicing and serving . leftover bread may be stored in a large zip top bag at room temperature for 1 day, in the refrigerator for 4 days, or in the freezer for up to 3 months."
5516,beef and barley soup,"delicious in the winter, a delicious soup","2.0 tablespoon olive oil, onion, 2.0 teaspoon chopped garlic, 2.0 pound boneless chuck, 1.0 teaspoon salt, 0.1 teaspoon pepper, 2.0 carrots, 1.0 cup pearled barley, 8.0 cup beef broth, 1.5 cup frozen peas, 1.0 cup frozen corn","heat oil in skillet on med high heat cook onion, garlic, beef, salt and pepper 7 10 min . until beef browned, stirring occasionally spoon into slow cooker, stir in carrots, barley and broth . cover and cook on low for 8 9 hours . turn to high and add frozen peas and corn, cook 10 minutes or until veggies are hot."
1299,spiked strawberry slushies for a crowd,"everybody loves a frozen cocktail, and these fruity slushies are sure to be a hit . made with fresh fruit, fruit juices, and only a modest amount of vodka, they're long on refreshing, the perfect sipper for a hot afternoon . the recipe is a yummly original created by sara mellas https //www.yummly.com/dish/author/sara 20mellas .","6.0 cup frozen strawberries, 1.5 cup pomegranate juice, 0.5 cup orange juice, 0.8 cup vodka, 0.2 cup agave nectar, 0.2 cup vodka, 1.0 tablespoon agave nectar","combine the frozen strawberries, pomegranate juice, orange juice, vodka, and agave in a high powered blender . process on high until the mixture is smooth and icy, about 30 seconds . taste the slushies and blend in more vodka and agave nectar if desired . pour slushies into glasses and serve immediately."
386,eggs and tomato breakfast melts,"easy open faced egg and tomato breakfast melts sandwiches made on whole wheat english muffin, egg whites and scallions, topped with tomatoes and melted cheese.","2 whole grain english muffins, 1 teaspoon olive oil, 8 egg whites, 4 scallions, kosher salt, black pepper, 2 oz about 1/2 cup reduced fat mexican cheese blend, grated, 1/2 cup grape or cherry heirloom tomatoes","preheat the broiler on high . place muffins, cut side up, on a baking sheet and broil for 2 minutes or until beginning to lightly brown on edges . or you can do this in your toaster oven heat a medium skillet on medium heat . add oil and saute 3 of the scallions about 2 to 3 minutes . add the egg whites, season with salt and pepper and cook, mixing with a wooden spoon until cooked through . divide on toasted muffins and top with tomatoes, cheese and remaining scallions . broil for 1 to 1 1/2 minutes or until cheese has melted, careful not to burn."
1108,mcdonald's egg mcmuffin baking with eda,full recipe http //www.bakingwithnyssaeda.com/2015/11/egg mcmuffin recipe.html,"3.0 english muffins, 3.0 eggs, ground black pepper, salt, american cheese, bacon",http //www.bakingwithnyssaeda.com/2015/11/egg mcmuffin recipe.html http //www.bakingwithnyssaeda.com/2015/11/egg mcmuffin recipe.html http //www.bakingwithnyssaeda.com/2015/11/egg mcmuffin recipe.html
209,brownie bowl sundaes,"brownie bowl sundaes with brownie mix, breyers extra creamy vanilla, breyers hot fudge ice cream sauce, breyers caramel flavored ice cream sauce, breyers rainbow sprinkles","18.0 ounce brownie mix, 3.0 cup breyers extra creamy vanilla, 0.8 cup breyers hot fudge ice cream sauce, 0.8 cup breyers caramel flavored ice cream sauce, 0.2 cup breyers rainbow sprinkles","preheat oven to 350deg . spray 12 cup muffin pan with no stick spray set aside . prepare brownie mix according to package directions pour into prepared muffin pan, filling cups about half full . bake 15 to 18 minutes until firm . cool in pan on wire rack 5 minutes, then remove from pans and cool completely . to make brownie cups, scoop out some of the center of brownies with a spoon . scoop breyers extra creamy vanilla into brownie cups, then drizzle with breyers hot fudge ice cream sauce and breyers caramel flavored ice cream sauce and top with breyers rainbow sprinkles . serve immediately."
2362,skinny frozen hot chocolate,"skinny frozen hot chocolate a dreamy, icy blend of chocolatey goodness, without the guilt","1 1/2 cups fat free milk, 1 cup ice, 4 tbsp ovaltine rich chocolate, 1 tbsp unsweetened cocoa powder, 2 tbsp fat free whipped topping, drop of peppermint extract","pour the milk and ice into your blender . add in the ovaltine, cocoa powder, and whipped topping optional you could also leave this for the top instead . blend 3 4 minutes until the ice is completely chopped and the mixture is thick and icy . pour into two glasses, and serve immediately."
547,chicken sesame stir fry,"chicken sesame stir fry with oil, sesame oil, foster farms boneless skinless chicken breasts, crushed red pepper flakes, minced garlic, ginger root, green onions, chicken broth, soy sauce, broccoli flowerettes, sugar, cornstarch, red wine vinegar","2.0 tablespoon oil, 1.0 tablespoon sesame oil, 1.5 pound foster farms boneless skinless chicken breasts, 0.5 teaspoon crushed red pepper flakes, 1.0 teaspoon minced garlic, 1.0 tablespoon ginger root, 3.0 green onions, 1.0 cup chicken broth, 0.2 cup soy sauce, 1.0 pound broccoli flowerettes, 2.0 tablespoon sugar, 1.0 tablespoon cornstarch, 3.0 tablespoon red wine vinegar","in skillet or wok, heat oils over medium high heat . saute chicken until cooked through remove to bowl . in drippings, saute pepper flakes, garlic, ginger and green onions for 2 minutes . add broth and soy sauce and bring to a boil . add broccoli and stir fry until crisp tender . remove broccoli . in a cup, blend sugar, cornstarch and vinegar and add to pan . boil 1 minute . return chicken and broccoli and heat through."
5259,sweet and spicy peach pecan sundaes,"sweet and spicy peach pecan sundaes with peaches, sugar, jelly, ground cinnamon, cayenne pepper, cookies, sweetened whipped cream, breyers peach ice cream","1.0 pound peaches, 0.3 cup sugar, 1.5 tablespoon jelly, 0.1 teaspoon ground cinnamon, 0.1 teaspoon cayenne pepper, 8.0 cookies, 0.5 cup sweetened whipped cream, 2.0 cup breyers peach ice cream","bring peaches, sugar, hot pepper jelly, cinnamon and cayenne pepper to a boil over medium heat in 2 quart saucepan . reduce heat to low and simmer, stirring frequently, until peaches release their juices and are heated through cool to room temperature . to serve, arrange 1 crumbled cookie into each serving dish . top with peach sauce, then breyers peach ice cream . sprinkle with remaining crumbled cookies then drizzle with remaining peach sauce . garnish with whipped cream."
2283,stuffed jack o' lantern and jack o' peppers,"if your pumpkin has a big neck, like mine, cut round slices from the top and make scary faces, using a sharp knife to make the mouth and three cloves to make eyes and nose...","2.0 tomatoes, 2.0 peppers, 1.0 orange pepper, 1.0 red pepper, 1.0 pumpkin, 0.8 ground meat, parsley, 2.0 carrots, 1.0 onion, 2.0 teaspoon fresh mint, 1.0 teaspoon oregano, 2.5 handful basmati rice, pepper, olive oil",find directions on http //nomilktoday.co/2014/10/18/stuffed jack o lantern jack o peppers/
3523,healthy garlicy sweet potato fries,the perfect nutrient dense side dish when you're craving something both sweet and savory the recipe is a yummly original created by sara mellas https //www.yummly.com/dish/author/sara 20mellas .,"1.0 pound sweet potatoes, 1.0 tablespoon olive oil, 0.5 teaspoon salt, black pepper, 2.0 clove garlic","preheat the oven to 425degf . line a large baking sheet with parchment paper . cut the sweet potatoes into wedges about 3/4 inch thick . place the sweet potatoes in a large mixing bowl . drizzle with olive oil, and sprinkle with salt and pepper, to taste . use a rubber spatula to toss the sweet potatoes until they are evenly coated . transfer the sweet potatoes to the prepared baking sheet with as much space between the wedges as possible . finely mince the garlic . roast on middle rack of oven for 12 minutes . carefully flip the sweet potatoes and sprinkle evenly with the minced garlic . continue roasting until the sweet potatoes are tender and slightly charred, 10 14 minutes . check to see that sweet potatoes are done . remove from oven or add time as needed . serve immediately."
324,instant pot deviled eggs,"when it comes to making deviled eggs, i keep my ingredients pretty classic, but i love adding little pickle juice to my the yolks for a pop of flavor making hard boiled eggs in the instant pot will give you perfect, easier to peel eggs every time.","6 large eggs, 1 cup water, rack that comes with the instant pot, 2 tablespoons mayonaisse, 1 tablespoon 2 milk, 1 teaspoon dill pickle juice, 1/8 teaspoon salt, fresh black pepper, paprika for sprinkling, fresh dill","place the rack in the bottom of the pot . pour the water in the pot . place the eggs on the rack . high pressure on manual 5 minutes . natural release 5 minutes then use quick release, then quickly run the eggs under cold running water until cool enough to hold . peel the eggs and slice in half lengthwise . remove yolks and transfer to a medium sized bowl . add the mayo, milk, pickle juice, salt, pepper then use a fork to mash well . spoon filling into each egg white . sprinkle with paprika, dill and serve."
1419,lemon dill schmear,"learn the history of cream cheese and try a recipe for lemon dill schmear a lemony herb cream cheese spread . bagels, schmear, dairy, kosher.","1 lb cream cheese, softened, 3 tbsp fresh lemon juice, or more to taste, 1 tbsp heavy whipping cream, or more for consistency, 1 tsp lemon zest, 3 tbsp chopped fresh dill, salt and white pepper to taste","fit your food processor with a blade attachment . place cream cheese, lemon juice, whipping cream, lemon zest, and dill into the processor . process to blend all ingredients until a creamy, smooth texture develops . you may add more whipping cream if desired this will soften the texture and make it more dip like . after processing, taste the schmear add more lemon juice, salt, and white pepper to taste, if desired . chill the schmear until ready to serve . garnish with a lemon twist, if desired instructions can be found here . spread on toasted bagels or crackers."
